ewretx,sprtrn,ewretd,vwretx,vwretd,SHRENDDT,ALTPRCDT,pe_op_basic,pe_op_dil,CAPEI,RETX,RET,divyield,VOL,pe_exi,pcf,pe_inc,PEG_ltgforward,ps,ptb
0.035232,0.011065,0.036978,0.017585,0.019053,20060427.0,20060331.0,2.046,2.094,19.469,-0.019359,-0.015787,0.0146,398137.0,2.094,10.668,2.094,0.154,1.153,2.725
-0.077329,-0.056791,-0.075715,-0.059612,-0.057472,20110929.0,20110831.0,7.957999999999998,8.026,11.634,-0.07144600000000001,-0.07144600000000001,0.0266,11904058.0,8.026,19.742,8.026,0.855,1.264,0.836
-0.049083,-0.047449,-0.047566,-0.044938,-0.042813,20100929.0,20100831.0,17.879,17.879,14.931,-0.10685499999999999,-0.10685499999999999,0.0181,1809643.0,14.767,6.247999999999998,14.767,1.538,1.702,3.305
0.08443200000000001,0.043583,0.085342,0.052929,0.054076,20120228.0,20120131.0,15.142,15.347,17.868,0.047422000000000006,0.047422000000000006,0.0156,1100322.0,15.213,11.431,15.213,1.518,2.099,10.023
0.08443200000000001,0.043583,0.085342,0.052929,0.054076,20120213.0,20120131.0,15.112,15.229,14.726,0.08656,0.089878,0.0122,8014457.0,17.083,9.833,17.083,2.122,2.416,2.239
-0.007204,-0.017396000000000002,-0.005111999999999999,-0.012255,-0.010439,20150429.0,20150331.0,20.377,20.689,19.647,-0.06351,-0.055889,0.0326,3707384.0,25.344,16.688,25.344,5.204,3.851,4.927
0.104391,0.085405,0.107474,0.083432,0.08669,20090419.0,20090331.0,9.618,9.824,12.459,0.137461,0.137461,0.0283,16364071.0,9.824,8.045,9.824,0.961,2.637,4.7410000000000005
-0.078435,-0.081976,-0.076929,-0.081224,-0.079136,20100629.0,20100528.0,9.517,9.544,17.769000000000005,-0.038527,-0.038527,0.0451,4473562.0,7.033,25.968000000000004,7.033,1.227,3.139,1.815
-0.02248,-0.005059,-0.020645,-0.008893,-0.006226,20111229.0,20111130.0,16.062,16.771,16.158,0.009064000000000001,0.009064000000000001,0.0325,1769343.0,16.771,13.723,16.387999999999998,1.912,2.153,2.324
0.008971999999999999,-0.00229,0.010736,0.002908,0.005108,20110227.0,20101130.0,10.321,10.579,18.908,0.055237,0.063092,0.0298,11304826.0,11.436,8.113,11.436,0.893,2.762,2.44
0.037024,0.007821999999999999,0.042176,0.019081,0.022148,20090129.0,20081231.0,7.51,7.5710000000000015,6.372999999999998,-0.204204,-0.204204,0.0388,3151505.0,6.353,2.684,6.5779999999999985,0.62,0.6509999999999999,1.719
-0.014781,-0.019789,-0.013477,-0.01555,-0.014101,20121129.0,20121031.0,8.148,8.209,10.813,-0.054215,-0.054215,0.0327,1294587.0,8.209,5.561,8.209,32.185,0.938,1.475
0.035232,0.011065,0.036978,0.017585,0.019053,20060427.0,20060331.0,8.81,8.863999999999997,16.284000000000002,0.026381,0.026381,0.0311,2087398.0,8.863999999999997,6.417999999999998,8.863999999999997,1.561,0.698,1.745
-0.004484,0.012598,-0.003281,0.009012,0.010266,20120830.0,20120731.0,13.945,14.078,18.426,-0.005249,-0.005249,0.0238,869711.0,12.832,9.559,12.809,1.178,0.759,11.053
0.051512,0.082983,0.052873,0.07256599999999999,0.073963,20151129.0,20151030.0,21.175,21.281,20.265,0.05558300000000001,0.05558300000000001,0.0312,3665655.0,24.766,16.352999999999998,24.766,6.517,4.029,5.385
0.004804999999999999,0.00998,0.0065450000000000005,0.011471,0.012946,20070424.0,20070330.0,4.707,4.8439999999999985,110.758,0.098097,0.098097,0.0254,5696711.0,4.792,21.424,4.792,0.212,3.885,6.848
0.02201,0.023563,0.025242,0.024071,0.026126,20140130.0,20131231.0,13.996,14.234000000000002,16.508,0.011009999999999999,0.014769,0.0149,878458.0,14.234000000000002,9.968,14.234000000000002,1.911,0.631,2.236
-0.046891,-0.015513999999999997,-0.044988,-0.026823000000000003,-0.025129,20141030.0,20140930.0,15.165,15.473,16.730999999999998,-0.092051,-0.092051,0.0283,1063323.0,16.533,6.3889999999999985,16.533,1.288,1.126,2.9810000000000003
-0.044642,-0.031982,-0.043537,-0.032762,-0.031758,20070830.0,20070731.0,15.087,15.673,26.002,-0.052992,-0.052992,0.0006,1748255.0,16.143,10.427,16.143,1.004,0.889,3.08
