RET,RETX,sprtrn,ewretx,vwretx,ewretd,pe_inc,pe_op_dil,ALTPRC,debt_ebitda,cash_ratio,ps,SHRENDDT,VOL,int_debt
-0.052992,-0.052992,-0.031982,-0.044642,-0.032762,-0.043537,16.143,15.673,48.43,0.912,0.568,0.889,20070830.0,1748255.0,0.083
-0.039327,-0.039327,-0.00229,0.008971999999999999,0.002908,0.010736,15.079,17.105999999999998,61.07,1.608,0.147,2.157,20101230.0,2027718.0,0.039
0.071408,0.06942000000000001,0.024534,-0.004155,0.018986000000000003,-0.002457,29.952,28.466,258.19,0.0,1.067,10.025,20141230.0,517907.0,0.052000000000000005
-0.008437,-0.008437,-0.08565700000000001,-0.025384,-0.078717,-0.024042,8.264,7.968,42.31,1.163,0.248,0.454,20090226.0,1397196.0,0.061
-0.149036,-0.149036,0.014759,0.056698,0.01893,0.057842999999999985,6.561,6.561,145.2,18.233,0.4785,1.48,20100527.0,5333092.0,0.052000000000000005
-0.066277,-0.066277,-0.017816,-0.009856,-0.016117,-0.007906,17.047,16.55,51.14,0.912,0.568,0.939,20070730.0,1338165.0,0.083
-0.03599,-0.03599,-0.005059,-0.02248,-0.008893,-0.020645,14.687,15.669,56.25,2.231,0.4785,0.914,20111229.0,856014.0,0.061
0.016685,0.016685,0.023563,0.02201,0.024071,0.025242,24.2,24.2,136.49001,1.162,0.297,1.205,20140130.0,787013.0,0.065
0.032048,0.032048,0.012864,-0.013287,0.009678,-0.011712,11.951,11.845999999999998,53.78,0.777,0.324,4.745,20070927.0,2320306.0,0.19
0.008708,0.004944,0.021274,0.023562,0.022975,0.025011,16.381,16.086,44.72,1.298,0.112,0.581,20060928.0,2371032.0,0.065
-0.046745999999999996,-0.051814,-0.031298,-0.019029,-0.027891000000000003,-0.017278,14.486,18.004,100.1,2.492,0.21600000000000005,1.484,20130929.0,576339.0,0.049
-0.046782,-0.046782,0.012187,0.008497,0.011494,0.009791,16.802,16.929000000000002,45.03,1.855,0.131,0.599,20060530.0,1973930.0,0.059
-0.026158999999999998,-0.034285,-0.071762,-0.102888,-0.086564,-0.10092,9.444,9.904,48.73,1.629,0.4785,0.8009999999999999,20111030.0,1005149.0,0.061
0.050884,0.050884,0.049462,0.05372,0.051244000000000005,0.054898,18.187,17.788,24.37,11.722,0.4785,1.7480000000000002,20130829.0,7934819.0,0.04
0.047847,0.047847,0.036856,0.039488,0.037009,0.040681,9.642,9.207,61.32,1.109,0.6829999999999999,4.484,20101129.0,1936493.0,0.07200000000000001
0.099743,0.094933,0.0653,0.065469,0.064817,0.068851,23.874,20.321,34.14,3.849,0.226,0.757,20110130.0,1390689.0,0.085
0.055046000000000005,0.055046000000000005,0.107723,0.106575,0.112566,0.107697,37.5,18.449,34.5,1.097,0.774,2.264,20111129.0,3664573.0,0.046
0.17702400000000001,0.17702400000000001,0.085405,0.104391,0.083432,0.107474,2.458,2.458,105.12,0.0,1.894,2.699,20090412.0,5728764.0,0.052000000000000005
-0.019549,-0.019549,0.012864,-0.013287,0.009678,-0.011712,11.842,10.272,42.63,1.584,0.249,0.805,20070927.0,1309376.0,0.07
-0.035981,-0.041044,-0.047449,-0.049083,-0.044938,-0.047566,11.66,11.978,123.13,1.141,0.373,1.595,20100929.0,1174205.0,0.046
-0.008423,-0.008423,0.024566,0.007432999999999999,0.018105,0.009006,10.517,11.073,67.1,0.123,0.701,1.162,20061030.0,4745987.0,0.075
0.026061,0.026061,0.028514,0.032232,0.032688,0.033602999999999994,10.451,10.292,33.86,1.5019999999999998,0.498,0.45,20100330.0,2186398.0,0.054000000000000006
-0.009929,-0.017544,0.014759,0.056698,0.01893,0.057842999999999985,14.8,17.709,62.16,1.845,0.16899999999999998,2.351,20100527.0,2395403.0,0.055
0.0072239999999999995,0.0072239999999999995,8.7e-05,-0.010474,-0.001881,-0.008479,10.469,11.014,61.35,0.135,0.6859999999999999,1.109,20060730.0,5043284.0,0.098
0.001101,0.001101,0.017771000000000002,0.051972,0.026392,0.055001,15.158,9.281,18.19,1.467,1.592,3.21,20100128.0,9377881.0,0.038
0.12445,0.12445,0.03356,0.055310000000000005,0.0293,0.056864,51.738,106.0,43.46,28.276,0.4785,1.595,20090916.0,8515650.0,0.052000000000000005
0.287554,0.272532,0.093925,0.190929,0.107522,0.192762,6.2860000000000005,7.291,35.58,4.452,0.107,0.417,20090528.0,3274119.0,0.07
0.008514,0.008514,0.008533,-0.00702,0.001454,-0.003561,13.876,13.876,81.73,0.7829999999999999,0.735,1.96,20120130.0,799331.0,0.042
0.032496,0.032496,0.028495,0.018109,0.027573,0.019203,20.559,17.475,20.97,1.658,0.979,2.472,20110530.0,9250844.0,0.045
0.011164,0.011164,0.023201,0.012956,0.019935,0.014199000000000003,19.886,17.933,107.78,0.688,1.158,4.102,20141127.0,2326723.0,0.04
0.018668999999999998,0.013404,-0.004189,-0.003562,-0.005754,-0.00019,10.277,10.277,105.85,1.016,0.4785,1.294,20150129.0,414340.0,0.059
-0.030826999999999997,-0.030826999999999997,0.043583,0.08443200000000001,0.052929,0.085342,7.6389999999999985,7.6389999999999985,103.12,0.222,0.556,0.894,20120228.0,1572333.0,0.031
0.010714,0.010714,-0.017816,-0.009856,-0.016117,-0.007906,17.430999999999994,16.364,48.11,1.633,0.12,0.556,20070730.0,4462640.0,0.068
-0.01488,-0.01488,0.029749,0.049754,0.035682,0.051828,86.435,50.188,46.675,1.589,0.193,1.129,20131030.0,3229201.0,0.065
0.005842,-0.003894,0.007821999999999999,0.037024,0.019081,0.042176,13.005999999999998,11.453,23.02,1.56,0.061,0.525,20090129.0,4400552.0,0.063
