,vwretd,ptb,vwretx,DATE,CAPEI,ewretd,ewretx,PEG_1yrforward,accrual,pretret_earnat,ps,roe,pcf,pe_op_dil,BID,NEXT_DAY_PREDICTION
837,0.067788,4.067,0.065138,1241136000000000000,11.345999999999998,0.10233,0.10021,-0.534,0.047,0.279,1.6569999999999998,0.254,9.36,12.44,57.12,1.0
838,-0.003098,4.2810000000000015,-0.00504,1243814400000000000,11.942,0.023921,0.021352,-0.5760000000000001,0.047,0.279,1.744,0.254,9.852,13.094,60.16,1.0
839,0.081719,5.058,0.08029800000000001,1246406400000000000,14.109000000000002,0.085217,0.083763,-0.703,0.047,0.279,2.061,0.254,11.639,15.364,70.52,1.0
840,-0.042813,4.009,-0.044938,1280620800000000000,15.679,-0.047566,-0.049083,0.611,0.038,0.329,2.206,0.318,11.203,13.977,78.5,1.0
841,0.091518,4.426,0.089635,1283299200000000000,17.308,0.096418,0.094485,0.675,0.038,0.329,2.435,0.318,12.367,15.429,86.74,0.0
842,0.038531,4.309,0.037009,1285891200000000000,16.852,0.040681,0.039488,0.655,0.038,0.329,2.371,0.318,12.041,14.986,84.24,0.0
843,0.005108,3.872,0.002908,1288569600000000000,16.57,0.010736,0.008971999999999999,0.6629999999999999,0.017,0.32,2.302,0.31,13.088,14.555,83.99,1.0
844,0.06715,3.979,0.064817,1291161600000000000,17.028,0.068851,0.065469,0.688,0.017,0.32,2.366,0.31,13.449000000000002,14.957,86.34,1.0
845,0.019157,4.037,0.018203,1293840000000000000,17.277,0.014412,0.013611000000000002,0.6940000000000001,0.017,0.32,2.401,0.31,13.647,15.237,87.9,1.0
846,0.038165,4.1389999999999985,0.036232,1296518400000000000,17.567999999999998,0.037036,0.035725,2.048,0.038,0.317,2.462,0.285,12.688,16.04,92.26,1.0
847,0.003366,4.1960000000000015,0.0017809999999999996,1298937600000000000,17.809,0.008605,0.006786,2.076,0.038,0.317,2.496,0.285,12.863,16.261,93.45,1.0
848,0.028688,4.355,0.027573,1301616000000000000,18.484,0.019203,0.018109,2.158,0.038,0.317,2.591,0.285,13.35,16.906,97.18,0.0
849,-0.014935,4.066,-0.016942,1304208000000000000,18.037,-0.018549,-0.020191,1.753,0.02,0.306,2.428,0.28800000000000003,13.899,16.160999999999998,94.34,1.0
850,-0.018395,4.086,-0.020161,1306886400000000000,18.127,-0.024106,-0.026251,1.6980000000000002,0.02,0.306,2.44,0.28800000000000003,13.969,16.241,94.83,0.0
851,-0.02247,3.749,-0.023611,1309478400000000000,16.629,-0.021813,-0.022838,1.589,0.02,0.306,2.238,0.28800000000000003,12.814,14.921,87.14,0.0
852,-0.057472,3.397,-0.059612,1312156800000000000,15.652,-0.075715,-0.077329,1.797,0.028,0.305,2.061,0.277,11.459,14.064,82.94,0.0
