,pretret_earnat,divyield,roe,pcf,pe_op_dil,CAPEI,PEG_1yrforward,ptb,BID,accrual,ps,pe_op_basic,cash_lt,PEG_1yrforward,ASKHI,ptb,PEG_ltgforward,NEXT_DAY_PREDICTION
108,0.285,0.015700000000000002,0.28800000000000003,9.835,13.035,16.932000000000002,1.921,3.457,89.31,0.046,1.452,12.884,0.311,1.921,90.38,3.457,1.693,1.0
109,0.285,0.0149,0.28800000000000003,10.335,13.697,17.792,1.586,3.632,93.75,0.046,1.526,13.539,0.311,1.586,95.0,3.632,1.7819999999999998,0.0
110,0.285,0.016200000000000003,0.28800000000000003,9.531,12.632,16.407,1.388,3.35,85.3,0.046,1.4069999999999998,12.486,0.311,1.388,93.83,3.35,1.5119999999999998,1.0
111,0.29100000000000004,0.0161,0.29100000000000004,8.952,11.952,14.321,1.642,3.218,86.92,0.049,1.298,11.822,0.297,1.642,89.89,3.218,1.808,0.0
112,0.29100000000000004,0.0166,0.29100000000000004,8.702,11.618,13.921,0.94,3.128,84.9,0.049,1.262,11.492,0.297,0.94,88.47,3.128,1.672,1.0
113,0.29100000000000004,0.015,0.29100000000000004,9.542,12.784,15.265,0.7759999999999999,3.43,92.93,0.049,1.384,12.645,0.297,0.7759999999999999,94.39,3.43,1.839,0.0
114,0.306,0.018000000000000002,0.302,7.931,11.542,14.845999999999998,0.605,3.187,88.4,0.071,1.213,11.423,0.303,0.605,94.56,3.187,1.28,0.0
115,0.306,0.0182,0.302,7.874,11.46,14.741,0.446,3.165,87.74,0.071,1.205,11.342,0.303,0.446,89.31,3.165,1.01,0.0
116,0.306,0.0199,0.302,7.186,10.459,13.453,0.33,2.888,80.21,0.071,1.1,10.351,0.303,0.33,88.35,2.888,2.092,0.0
117,0.312,0.02,0.306,6.7860000000000005,9.853,12.623,0.316,2.787,80.16,0.071,0.981,9.745,0.297,0.316,81.18,2.787,0.928,0.0
118,0.312,0.0206,0.306,6.5870000000000015,9.564,12.252,0.348,2.705,77.84,0.071,0.952,9.459,0.297,0.348,80.67,2.705,1.085,0.0
119,0.312,0.0216,0.306,6.157,9.128,11.452,0.393,2.528,74.4,0.071,0.89,9.028,0.297,0.393,78.58,2.528,1.504,1.0
120,0.335,0.02,0.337,6.73,8.915,11.825,0.439,2.744,80.16,0.046,0.8959999999999999,8.856,0.294,0.439,80.89,2.744,1.245,0.0
121,0.335,0.02,0.337,6.7029999999999985,8.88,11.778,0.467,2.734,79.68,0.046,0.892,8.821,0.294,0.467,83.14,2.734,3.732,0.0
