,RET,RETX,vwretx,ewretx,sprtrn,vwretd,ewretd,pe_op_dil,cash_ratio,pe_inc,ALTPRC,debt_ebitda,ALTPRCDT,fcf_ocf,PRC
1054,0.074884,0.074884,0.038183,0.032156,0.037655,0.040186,0.033697000000000005,19.835,0.317,20.726,83.11,1.823,20140829.0,0.7240000000000001,83.11
2013,0.007781999999999999,0.007781999999999999,-0.012255,-0.007204,-0.017396000000000002,-0.010439,-0.005111999999999999,23.053,0.284,23.361,104.89,1.1,20150331.0,0.65,104.89
3362,-0.057873,-0.059577,-0.044938,-0.049083,-0.047449,-0.042813,-0.047566,4.751,1.877,4.725,68.98,0.011,20100831.0,0.846,68.98
1257,-0.094975,-0.094975,-0.086564,-0.102888,-0.071762,-0.084873,-0.10092,14.171,0.26,12.82,60.51,1.834,20110930.0,0.6,60.51
1105,0.089778,0.089778,0.019081,0.037024,0.007821999999999999,0.022148,0.042176,7.52,0.051,7.359,44.67,3.341,20081231.0,0.386,44.67
846,-0.00975,-0.00975,0.011471,0.004804999999999999,0.00998,0.012946,0.0065450000000000005,17.287,0.16699999999999998,17.52,65.0,1.102,20070330.0,0.8009999999999999,65.0
2132,-0.014762,-0.014762,-0.012255,-0.007204,-0.017396000000000002,-0.010439,-0.005111999999999999,18.179,0.7559999999999999,20.216,97.44,1.577,20150331.0,0.616,97.44
3532,0.038100999999999996,0.038100999999999996,0.018986000000000003,-0.004155,0.024534,0.02115,-0.002457,17.739,0.3,17.739,98.63,1.4880000000000002,20141128.0,0.784,98.63
1334,-0.011144,-0.022287,-0.012158,-0.027567,-0.00596,-0.010419,-0.025309,9.801,0.14,12.324000000000002,36.85,1.633,20080331.0,0.537,36.85
386,0.059948,0.059948,-0.014677,-0.002657,-0.009859,-0.013328,-0.001295,12.518,0.7064464135021098,13.158,28.29,9.561,20080731.0,0.6509999999999999,28.29
651,0.019124000000000002,0.019124000000000002,0.037009,0.039488,0.036856,0.038531,0.040681,9.706,0.389,9.81,82.6,0.298,20101029.0,0.377,82.6
3243,0.159199,0.157083,0.049781,0.03049,0.047547000000000006,0.051106,0.031907,8.985,0.7064464135021098,8.985,191.37,11.222,20080430.0,0.700589836660617,191.37
2460,-0.037193000000000004,-0.037193000000000004,-0.01555,-0.014781,-0.019789,-0.014101,-0.013477,4.82,0.93,4.956,91.38,0.118,20121031.0,0.7490000000000001,91.38
3062,0.081973,0.081973,0.052887,0.06268,0.050428,0.054094,0.06350900000000001,23.647,0.243,23.73,66.92,1.2009999999999998,20130131.0,0.797,66.92
3084,0.019278,0.019278,0.018986000000000003,-0.004155,0.024534,0.02115,-0.002457,24.01,0.274,23.723000000000006,99.4,1.362,20141128.0,0.8270000000000001,99.4
805,-0.021481,-0.021481,0.035682,0.049754,0.029749,0.037477,0.051828,1.6980000000000002,0.958,1.6980000000000002,476.75,0.076,20130930.0,0.8170000000000001,476.75
2114,0.019606000000000002,0.019606000000000002,0.035682,0.049754,0.029749,0.037477,0.051828,17.653,0.648,17.653,96.21,1.337,20130930.0,0.5770000000000001,96.21
366,0.004842,0.004842,0.02134,0.029505,0.016467,0.023705,0.031168,19.174,0.7064464135021098,21.126,35.28,7.862999999999999,20061130.0,0.465,35.28
2501,0.027264,0.027264,-0.003552000000000001,0.003476,0.000453,-0.001637,0.004836,21.726,0.7064464135021098,18.141,53.88,8.821,20060228.0,0.924,53.88
2709,-0.036938,-0.036938,0.051244000000000005,0.05372,0.049462,0.052680999999999985,0.054898,11.668,1.258,11.668,23.335,0.485,20130731.0,0.494,23.335
2374,0.014803,0.014803,0.010881,-0.028387,0.019742,0.012095,-0.027144,14.396,0.109,14.483,71.98,1.45,20150731.0,0.5489999999999999,71.98
1301,-0.013325,-0.019673,0.008167,0.002313,0.010491,0.010326,0.003961999999999999,19.302,0.202,17.587,140.52,0.931,20150529.0,0.705,140.52
3456,0.069714,0.069714,-0.014677,-0.002657,-0.009859,-0.013328,-0.001295,7.932,0.528,7.932,28.08,1.157,20080731.0,0.759,28.08
2109,0.024576,0.024576,0.013768,0.001376,0.018086,0.014944999999999996,0.002477,19.056,0.6859999999999999,19.056,102.14,1.396,20130430.0,0.562,102.14
2454,0.03163,0.03163,-0.008019,-0.010235,-0.007497,-0.006801000000000001,-0.009106,5.731,1.007,5.827000000000001,111.87,0.146,20120430.0,0.713,111.87
1411,0.048561,0.048561,0.038183,0.032156,0.037655,0.040186,0.033697000000000005,19.981,0.404,19.125,53.55,2.501,20140829.0,0.467,53.55
3314,-0.015619999999999998,-0.015619999999999998,0.002751,-0.0010949999999999998,0.006931999999999999,0.004469,0.0010279999999999998,10.787,0.7064464135021098,10.598,163.85001,27.324,20140331.0,0.845,163.85001
2365,-0.0026149999999999997,-0.0026149999999999997,0.019935,0.012956,0.023201,0.021184,0.014199000000000003,15.163,0.1,15.661,76.27,1.586,20141031.0,0.491,76.27
1751,0.022212,0.022212,0.033509,0.029529000000000007,0.035988,0.035274,0.031419,16.689,0.731,16.820999999999998,106.31,0.7809999999999999,20130328.0,0.72,106.31
1263,-0.007737999999999999,-0.007737999999999999,0.02211,0.015303,0.031332,0.023994,0.017608000000000002,15.055,0.273,13.927,74.37,1.769,20120330.0,0.574,74.37
2415,-0.112745,-0.112745,-0.078717,-0.025384,-0.08565700000000001,-0.077323,-0.024042,3.091,0.87,3.033,45.25,0.242,20090130.0,0.7090000000000001,45.25
458,-0.042999,-0.042999,-0.021819,-0.036411,-0.01508,-0.020523,-0.035223000000000004,17.465,0.7064464135021098,20.447,25.15,12.974,20140731.0,0.545,25.15
