,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
1327,15.815,9.682,0.0394,8.344,11.842,10.272,10.15,0.444,1.022,2.173,0.206,1.868,-1.198,11.842,0.598
530,14.36,7.824,0.0211,8.217,11.66,11.978,11.794,0.135,1.038,7.375,0.715,2.299,0.912,11.66,0.799
245,18.079,7.659,0.0191,5.669,10.517,11.073,10.982,0.378,1.3769999999999998,2.89,0.361,2.886,0.552,10.517,0.473
3475,10.362,6.968,0.0009,6.2,10.451,10.292,10.199,0.675,1.227,1.66,0.172,2.672,-1.881,10.451,0.6
1002,18.414,10.541,0.031,10.092,14.8,17.709,16.891,0.453,1.898,2.265,0.173,0.888,-5.803,17.709,0.52
242,17.671,7.4529999999999985,0.0209,6.0779999999999985,10.469,11.014,10.936,0.365,1.925,2.763,0.343,2.883,0.8490000000000001,10.469,0.474
1474,15.916,8.277000000000001,0.0352,6.716,15.158,9.281,9.281,0.513,10.056,2.142,0.13,0.536,-0.925,15.286,0.519
2184,18.191,1.669,0.0046,34.591,51.738,106.0,106.0,1.095,11.683,1.166,0.027000000000000003,0.258,7.114,140.194,0.925
1109,6.896,4.473,0.0472,7.883999999999999,6.2860000000000005,7.291,7.087999999999999,0.231,0.931,3.444,0.475,1.743,-0.092,6.2860000000000005,0.902
1736,15.067,11.064,0.0269,9.171,13.876,13.876,13.667,0.337,1.226,3.3760000000000003,0.262,1.355,4.6930000000000005,13.876,0.458
1490,18.978,14.63,0.0381,6.943,20.559,17.475,14.363,0.758,6.568,1.575,0.093,0.535,0.5340689902982393,20.559,0.547
1651,24.874,15.441,0.026,11.619000000000002,19.886,17.933,17.582,0.28,3.036,3.655,0.214,0.845,2.495,19.886,0.435
2845,11.956,8.566,0.0208,6.002000000000002,10.277,10.277,10.168,0.8170000000000001,2.1590000000000003,1.379,0.145,0.861,2.025,10.277,0.758
